refArea,Illiteracy,SchoolDropout,Observation URI,references,University,publisher,Secondary,Intermediate,Vocational,Elementary,HigherEducation,Town,dataset,Governorate,District
http://dbpedia.org/resource/Tyre_District,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mansouri,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Mansouri,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
http://dbpedia.org/resource/Aley_District,0.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mansouriyet+Bhamdoun,https://impact.cib.gov.lb/home#open_data_section,30.0,Impact Open Data,20.0,10.0,20.0,10.0,10.0,Mansouriyet Bhamdoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,Aley District
https://dbpedia.org/page/Baalbek-Hermel_Governorate,2.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maqneh,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,20.0,50.0,10.0,5.0,3.0,Maqneh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Baalbek-Hermel Governorate,
http://dbpedia.org/resource/Matn_District,0.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mar+Boutros+Karm+Et-Tine,https://impact.cib.gov.lb/home#open_data_section,5.0,Impact Open Data,40.0,35.0,4.0,15.0,1.0,Mar Boutros Karm Et-Tine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Matn District
http://dbpedia.org/resource/Matn_District,0.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mar+Chaaya,https://impact.cib.gov.lb/home#open_data_section,45.0,Impact Open Data,10.0,0.0,20.0,0.0,25.0,Mar Chaaya,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Matn District
http://dbpedia.org/resource/Batroun_District,0.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mar+Mama,https://impact.cib.gov.lb/home#open_data_section,80.0,Impact Open Data,2.0,0.0,1.0,0.0,17.0,Mar Mama,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,North Governorate,Batroun District
http://dbpedia.org/resource/Matn_District,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mar+Moussa+Ed-Douar,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Mar Moussa Ed-Douar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Matn District
https://dbpedia.org/page/Mount_Lebanon_Governorate,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Marj+Barja,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Marj Barja,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,
http://dbpedia.org/resource/Hasbaya_District,2.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Marj+Ez-Zouhour+%28Haouch+El-Qinnaabeh%29,https://impact.cib.gov.lb/home#open_data_section,13.0,Impact Open Data,30.0,40.0,5.0,10.0,0.0,Marj Ez-Zouhour (Haouch El-Qinnaabeh),http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Hasbaya District
http://dbpedia.org/resource/Matn_District,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Marjaba,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Marjaba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Matn District
http://dbpedia.org/resource/Marjeyoun_District,5.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Markaba,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,20.0,20.0,15.0,30.0,0.0,Markaba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Marjeyoun District
http://dbpedia.org/resource/Bint_Jbeil_District,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maroun+Er-Ras,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Maroun Er-Ras,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Bint Jbeil District
http://dbpedia.org/resource/Zahl̩_District,10.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Massa,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,10.0,5.0,10.0,5.0,40.0,Massa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Zahl̩ District
https://dbpedia.org/page/Akkar_Governorate,5.0,10.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Massaaoudiyeh,https://impact.cib.gov.lb/home#open_data_section,8.0,Impact Open Data,10.0,25.0,9.0,40.0,3.0,Massaaoudiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Akkar Governorate,
http://dbpedia.org/resource/Matn_District,1.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mayasseh,https://impact.cib.gov.lb/home#open_data_section,21.0,Impact Open Data,25.0,17.0,5.0,30.0,1.0,Mayasseh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Matn District
